igralec,ekipa,passing_yards,passing_td,passing_att,passing_cmp,passing_int,sacks,rushing_yards,rushing_td,rushing_att,fumbles,receiving_yards,receiving_td,receptions,targets,def_interceptions,def_sacks,pozicija,starost,tekme
Joshua Dobbs,NWE,65,0,10,7,0,0,-5,0,10,0,0,0,0,0,0,0,QB,30,4
Joshua Farmer,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,22,13
Joshua Karty,LAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,K,23,8
Joshua Uche,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,27,12
Joshua Williams,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,26,15
Josiah Deguara,ARI,0,0,0,0,0,0,0,0,0,0,21,1,3,5,0,0,TE,28,12
Jourdan Lewis,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CB,30,12
Jowon Briggs,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,24,17
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,0,0,345,1,33,45,0,0,WR,29,17
Juan Thornhill,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,30,9
Juanyeh Thomas,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,25,7
Julian Ashby,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,23,17
Julian Blackmon,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,27,1
Julian Hill,MIA,0,0,0,0,0,0,0,0,0,0,140,0,15,20,0,0,TE,25,14
Julian Love,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FS,27,8
Julius Brents,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,25,7
Julius Chestnut,TEN,0,0,0,0,0,0,40,0,11,0,0,0,0,2,0,0,RB,25,17
Justice Hill,BAL,0,0,0,0,0,0,93,2,18,1,169,1,21,27,0,0,RB,28,10
Justin Eboigbe,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,24,17
Justin Fields,NYJ,1259,7,204,128,1,27,383,4,71,4,0,0,0,1,0,0,QB,26,9
Justin Herbert,LAC,3727,26,512,340,13,54,498,2,83,7,0,0,0,0,0,0,QB,27,16
Justin Jefferson,MIN,0,0,0,0,0,0,7,0,2,0,1048,2,84,141,0,0,WR,26,17
Justin Reid,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,28,15
Justin Shorter,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,25,7
Justin Strnad,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LB,29,16
Justin Watson,HOU,0,0,0,0,0,0,0,0,0,0,30,0,3,4,0,0,WR,29,3
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,0,2,889,3,77,102,0,0,TE,29,17
K'Lavon Chaisson,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,16
K'Von Wallace,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,28,3
K.J. Britt,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,26,17
Ka'imi Fairbairn,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,31,15
KaVontae Turpin,DAL,0,0,0,0,0,0,89,0,17,1,396,2,26,38,0,0,WR,29,15
Kaden Davis,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,27,2
Kaden Elliss,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LB,30,17
Kaevon Merriweather,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,26,13
Kaiir Elam,2TM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,24,14
Kain Medrano,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,9
Kaleb Johnson,PIT,0,0,0,0,0,0,69,0,28,1,9,0,1,2,0,0,RB,22,10
Kalel Mullings,TEN,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,RB,23,9
